강좌명\학교명,SNU,KAIST,Korea,Postech,SKKU,Google,Microsoft,Amazon,Coursera,Edx,udacity,Udemy,CMU,Berkeley,MIT,Columbia,Cornell,Harvard,Stanford,MarylandCP,MichiganAA,IllinoisUC,Caltech,GeorgiaTech
,,,,"(0.8, '확률 및 통계')",,,,,,"(0.8, 'Probability - The Science of Uncertainty and Data')",,,"(0.8, 'Mathematical Foundations for Computer Science')",,"(0.5, 'Mathematics for Computer Science')","(0.8, 'INTRODUCTION TO PROB & STAT')","(0.8, 'Basic Probability')","(0.8, 'Introduction to Probability')","(0.8, 'Introduction to Probability for Computer Scientists.')","(0.8, 'Discrete Structures')",,"(0.8, 'Basic Discrete Mathematics')","(0.8, 'Introduction to Discrete Mathematics')",
,,,,,,,,,,,,,"(0.8, 'Probability')",,,,,,"(0.8, 'Mathematical Foundations of Computing.')","(0.8, 'Applied Probability and Statistics I')",,"(0.8, 'Introduction to Probability Theory')","(0.7, 'Combinatorial Analysis')",
,,,,,,,,,,,,,,,,,,,,,,"(0.8, 'Prob & Stat for Computer Sci')",,
Probability and Computing,,"(1, '확률적 프로그래밍')",,,,,,,,,,,"(1, 'Probability and Computing')","(1, 'Probability and Random Processes')",,,,"(0.7, 'Math Methods In Sciences')",,,"(1, 'Probabilistic Methods in Engineering')","(1, 'Probability with Engineering Applications')",,
Advanced Methods for Data Analysis,,,,,,,,,,,,,"(1, 'Advanced Methods for Data Analysis')",,,,,,,,,,,"(0.5, 'Big Data Systems and Analytics')"
Introduction to Statistics,,,"(0.8, '확률과 통계 (Probability and Statistics)')","(0.8, '확률 및 통계')","(0.8, '확률 및 통계')",,"(1, 'Basic Statistics')",,"(0.5, 'Statistical Thinking I: Foundations')","(1, 'Probability and Statistics in Data Science using Python')","(1, 'Intro to Inferential Statistics')","(0.7, 'Become a Probability & Statistics Master')","(1, 'Probability and Mathematical Statistics')","(1, 'Introduction to Statistics')",,,,"(1, 'Statistics')",,"(1, 'Applied Probability and Statistics I')",,"(1, 'Prob & Stat for Computer Sci')","(1, 'Introduction to Probability and Statistics')",
,,,,,,,,,"(0.5, 'Statistical Thinking II: Further Applications')","(1, 'Fundamentals of Statistics')","(1, 'Intro to Descriptive Statistics')",,,,,,,,,,,,,
Intermediate Statistics,,,,,,,,"(1, 'Linear and Logistic Regression')","(0.5, 'Statistical Machine Learning')",,,,"(1, 'Intermediate Statistics')",,,,,,,,,,"(1, 'Fundamentals of Statistical Learning')","(0.5, ' Computational Statistics')"
Modern Regression,,,,,,,,,,,,,"(1, 'Modern Regression')",,,,,,,,,,,
Regression Analysis,,,,,,,,,,,,,"(1, 'Regression Analysis')",,,,,,,,,,,
Advanced Statistical Theory,,,,,,,,,,,,,"(0.5, 'Advanced Statistical Theory I')",,,,,,,,,,,"(0.5, ' Bayesian Methods')"
,,,,,,,,,,,,,"(0.5, 'Advanced Statistical Theory II')",,,,,,,,,,,
Inference and Information,,,,,"(0.5, '수치해석')",,,,,,,,,,"(1, 'Inference and Information')",,,,"(0.5, 'From Languages to Information.')",,,,"(1, 'Statistical Inference')","(1, 'Introduction to Information Theory')"
Topics in Machine Learning,,,"(1, '기계학습 특론 (Advanced Machine Learning)')",,,"(0.3, 'Intro to Fairness Machine Learning module')",,"(1, 'Types of Machine Learning Solutions')",,,,,,,,,,"(1, 'TOPICS IN MACHINE LEARNING: INTERPRETABILITY AND EXPLAINABILITY')",,,,,"(1, 'Advanced Topics in Machine Learning')",
,,,,,,"(0.5, 'Seedbank - Machine Learning Discovery')",,,,,,,,,,,,,,,,,,
Introduction to Machine Learning,"(1, '기계학습 개론')","(1, '기계학습')","(1, '기계학습 (Machine Learning)')","(1, '기계학습')","(1, '기계학습')","(0.6, 'Introduction to Machine Learning Problem Framing')","(0.7, 'Machine Learning basics')","(1, 'Conversation Primer: Machine Learning Terminology')","(0.5, 'Statistical Machine Learning')","(1, 'Machine Learning')","(1, 'Intro to Machine Learning')","(1, 'The Ultimate Data Science & Machine Learning Python in 2019')","(1, 'Introduction to Machine Learning')","(1, 'Introduction to Machine Learning')","(1, 'Introduction to Machine Learning')","(1, 'Machine Learning')","(0.7, 'Machine Learning for Data Science')","(1, 'Machine Learning')","(0.7, 'Introduction to Statistical Learning.')","(1, 'Introduction to Machine Learning')","(1, 'Introduction to Machine Learning')","(1, 'Machine Learning')","(1, 'Machine Learning & Data Mining')","(1, 'Machine Learning')"
,,,,,,"(0.5, 'Rules of Machine Learning')",,"(1, 'Exploring the Machine Learning Toolset')","(0.5, 'Machine Learning I: The Principles of Machine Learning')","(0.5, 'Machine Learning Fundamentals')",,"(0.5, 'Machine Learning Data Science Deep Learning Neural Networks')",,,"(0.7, 'Statistical Learning Theory and Applications')",,,,"(1, 'Machine Learning.')",,,,"(1, 'Foundations of Machine Learning and Statistical Inference')",
,,,,,,,,,"(0.5, 'Machine Learning II: Advanced Techniques')","(1, 'Machine Learning with Python: from Linear Models to Deep Learning')",,,,,,,,,,,,,,
,,,,,,,,,"(0.5, 'Python을 통한 머신 러닝')",,,,,,,,,,,,,,,
Advanced Machine Learning,,,,,,"(0.5, 'Serverless Machine Learning with TensorFlow on Google Cloud Platform')",,"(1, 'Developing Machine Learning Applications')","(0.5, 'Scalable Machine Learning on Big Data using Apache Spark')",,"(1, 'Machine Learning Engineer')",,"(1, 'Advanced Introduction to Machine Learning')","(0.5, 'Statistical machine learning')",,,"(1, 'Applied Machine Learning')","(1, 'advance machine learning')","(0.7, 'Modern Applied Statistics: Learning.')",,"(1, 'Machine Learning')",,,"(1, 'Machine Learning(graduate)')"
,,,,,,,,,,,,,"(1, 'Machine Learning for Structured Data')",,,,"(1, 'Principles of Large-Scale Machine Learning Systems')",,"(1, 'Machine Learning with Graphs.')",,,,,
,,,,,,,,,,,,,"(1, 'Machine Learning with Large Datasets')",,,,,,"(1, 'Continuous Mathematical Methods with an Emphasis on Machine Learning.')",,,,,
,,,,,,,,,,,,,"(1, 'Scalability in Machine Learning')",,,,,,,,,,,
Machine Learning Theory and Methods,"(1, '기계학습')","(1, '고급 기계학습')",,,,,,,,,,,"(1, 'Advanced Machine Learning: Theory and Methods')","(0.5, 'Statistical Learning Theory')",,"(1, 'Bayesian Models of Machine Learning')",,"(1, 'computational learning theory')",,,,"(0.8, 'Theory of Probability')","(1, 'Learning Systems')","(1, 'Theoretical Foundations of Machine Learning')"
,,,,,,,,,,,,,,"(0.5, 'Advances Topics in Learning and Decision Making ')",,,,,,,,,,
Probabilistic Graphical Models,,,,"(1, '확률 그래프 모델')",,,,,,,,,"(1, 'Probabilistic Graphical Models')",,,,,"(0.6, 'probabilitic analysis and algorithm')","(1, 'Probabilistic Graphical Models: Principles and Techniques.')",,,,"(1, 'Introduction to Probability Models')",
Foundation of Data Science,,,,,,"(1, 'Data Preparation and Feature Engineering for Machine Learning')","(1, 'Hypothesis Testing and Handling Data')","(1, 'The Elements of Data Science')","(0.7, 'Data Processing at Scale')","(1, 'Probability and Statistics in Data Science using Python')","(1, 'Intro to Data Science')","(0.5, 'Python for Data Science and Machine Learning Bootcamp')",,"(1, 'Computational Structures in Data Science')",,,,"(1, 'Elements of data scinence')",,"(1, 'Introduction to Data Science')",,,,
,,,,,,"(1, 'Kaggle Learn')","(1, 'Data and Feature Management')","(1, 'Data Science Capstone: Real World ML Decisions')","(0.5, 'What is Data Science?')",,,,,"(0.5, 'Foundation of Data Sciecne')",,,,"(1, 'Data science 1: introduction to data science')",,,,,,
,,,,,,,,,"(0.5, 'Open Source tools for Data Science')",,,,,,,,,,,,,,,
,,,,,,,,,"(0.5, 'Data Science Methodology')",,,,,,,,,,,,,,,
Data Analysis,,,,,,"(0.6, 'Data Engineering on Google Cloud Platform Specialization')","(0.5, 'Microsoft R and SQL Server ML Services')","(1, 'Machine Learning Data Readiness')","(0.6, 'Data Visualization')",,"(1, 'Data Analysis')",,"(1, 'Data Analysis')",,,,"(0.5, 'Machine Learning for Data Science')","(1, 'Data science 1: Advanced topics in data science')",,,,,,"(1, ' Computational Data Analysis: Learning, Mining, and Computation')"
,,,,,,,,,,,,,,,,,,"(1, 'data systems')",,,,,,
,,,,,,,,,,,,,,,,,,"(0.7, 'visualization')",,,,,,
Big Data,,"(1, 'R을 활용한 빅데이터 분석 기초')","(1, '빅데이터 분석 (Big Data Analysis)')","(1, '빅데이터')","(1, '빅데이터 처리 및 분석')",,,,"(0.5, 'Scalable Machine Learning on Big Data using Apache Spark')","(0.5, 'Computational Thinking and Big Data')",,,,,,"(1, 'Big Data Analytics')",,"(1, 'big data systems')",,,,,"(1, 'Big Data Networks')","(1, 'Big Data Systems and Analytics')"
,,,,,,,,,,"(0.5, 'Big Data Fundamentals')",,,,,,,,,,,,,,
,,,,,,,,,,"(0.5, 'Big Data Analytics')",,,,,,,,,,,,,,
,,,,,,,,,,"(1, 'Big Data Analytics using Spark')",,,,,,,,,,,,,,
Application of Big Data Technology,,,"(1, '빅데이터 분석 응용 및 실습 (Big Data Analysis Application and Pr..')",,"(1, '제조 빅데이터 분석')",,,,,"(1, 'Big Data Capstone Project')",,,,,,,,,,,,,,"(1, ' Big Data for Health')"
,,,"(1, '빅데이터 특론 (Advanced Big Data)')",,,,,,,,,,,,,,,,,,,,,"(0.5, 'Information to Health Informatics')"
Datamining,"(1, '데이터마이닝 개론')","(0.7, '텍스트마이닝')",,"(1, '데이터마이닝')","(1, '데이터마이닝')",,,,"(1, 'Data Mining')",,,,"(0.5, 'Multimedia Databases and Datamining')",,,,"(0.5, 'Language and Information')",,,,,,"(1, 'Machine Learning & Data Mining')","(0.7, ' Web Search and Text Mining')"
,,,,,,,,,,,,,,,,,,,,,,,,"(0.5, ' Data and Visual Analytics')"
Distributed system,,"(1, '분산시스템')",,,"(1, '병렬 및 분산 컴퓨팅')",,,,,,,,,,,,,"(0.7, 'cloud netwoking and computing')","(1, 'Distributed Systems.')",,"(1, 'Introduction to Distributed Systems')",,"(1, 'Distributed Computing.')",
,,"(1, '분산 알고리즘 및 시스템')",,,"(0.7, '엣지컴퓨팅')",,,,,,,,,,,,,"(0.7, 'special topics in edge computing: autonomous machines')",,,,,"(1, 'Big Data Networks')",
