강좌명\학교명,SNU,KAIST,Korea,udacity,Udemy,CMU,Berkeley,MIT,GeorgiaTech
Computer Vision,"(1, '컴퓨터 비전')","(1, '컴퓨터비전개론')","(1, '컴퓨터비전 (Computer Vision)')","(1, 'Computer Vision')","(1, 'Deep Learning and Computer Vision A-Z™: OpenCV, SSD & GANs')","(1, 'Computer Vision:')","(1, 'Computer Vision')","(0.8, 'Advances in Computer Vision')","(1, 'Introduction to Computer Vision')"
,,"(1, '컴퓨터 비젼')","(1, '고급 컴퓨터비전 (Advanced Computer Vision)')",,"(1, 'Learn Python AI for Image Recognition & Fraud Detection')",,,,"(1, 'Introduction to Computer Vision GR')"
,,"(1, '컴퓨터비젼 특강')","(1, '컴퓨터비전 응용 및 실습 (Computer Vision Application and Practi..')",,"(0.5, 'Deep Learning: CNNs for Visual Recognition')",,,,"(1, '3D Reconstruction and Mapping in Computer Vision, Robotics, and Augmented Reality')"
,,,,,"(0.5, 'Practical Deep Learning: Image Search engine')",,,,
,,,,,"(0.7, '컴퓨터 비전을 이용한 얼굴 및 물체 인식')",,,,
Computational Photography,"(0.8, '컴퓨터 그래픽스')","(0.8, '컴퓨터그래픽스 개론')",,,,"(1, 'Computational Photography')","(0.5, 'Computational Imaging')","(1, 'Machine Vision')","(1, 'Computational Photography')"
,,"(0.8, '컴퓨터그래픽스')",,,,,"(0.5, 'Image Manipulation and Computational Photography')",,
Natural Language Processing:,"(0.7, '인공신경망')","(1, '파이썬을 통한 자연언어처리')","(1, '자연어처리 (Natural Language Processing)')","(1, 'Natural Language Processing')","(1, 'Deep Learning and NLP A-Z™: How to create a ChatBot')","(1, 'Natural Language Processing:')","(1, 'Natural Language Processing')","(1, 'Natural Language and the Computer Representation of Knowledge')","(1, 'Natural Language Understanding')"
,"(1, '자연언어처리')","(1, '자연언어 처리I')","(1, '고급 자연어처리 (Advanced Natural Language Processing)')",,,,,"(1, 'Advanced Natural Language Processing')","(1, 'Natural Language')"
,,"(1, '자연언어 처리II')","(1, '자연어처리 응용 및 실습 (Natural Language Processing Applicatio..')",,,,,"(1, 'Computational Psycholinguistics')",
,,"(1, '자연언어 처리 특강')",,,,,,,
,,"(1, '계산언어학')",,,,,,,
Speech Processing,,,"(1, '음성인식 (Automatic Speech Recognition)')",,,"(1, 'Speech Processing')",,"(1, 'Automatic Speech Recognition')",
,,,"(1, '음성인식 응용 및 실습 (Automatic Speech Recognition Applicatio..')",,,,,,
,,,"(1, '고급 음성인식 (Advanced Automatic Speech Recognition)')",,,,,,
Autonomous Agents,,,"(0.7, '에이전트 인공지능 (Intelligent Agent)')",,,"(1, 'Autonomous Agents')",,,"(0.7, 'Autonomous Robotics')"
,,,,,,,,,"(0.7, 'Autonomous Multi-Robot Systems')"
Introduction to Robotics,,"(0.5, '지능 로봇 설계 및 프로그래밍')","(0.5, '지능로봇 (Intelligent Robotics)')",,,"(0.7, 'Cognitive Robotics: The Future of Robot Toys')","(1, 'Introduction to Robotics')",,"(0.5, 'Introduction to Perception and Robotics')"
,,"(0.5, '지능형 로보틱스')",,,,,,,
Become a C++ Engineer,,,,"(1, 'Become a C++ Developer')",,,,,
Planning Techniques for Robotics,,,,"(1, 'Robotics Software Engineer')",,"(1, 'Planning Techniques for Robotics')","(1, 'Advanced Robotics')","(0.5, 'Cognitive Robotics')","(1, 'Robot Intelli Planning')"
,,,,"(0.5, 'Sensor Fusion Engineer')",,,,,"(1, 'Robot Intelligence: Planning')"
Mobile Robot Algorithms Laboratory,,,,,,"(1, 'Mobile Robot Algorithms Laboratory')",,,
Robot Kinematics and Dynamics,,,,,,"(1, 'Robot Kinematics and Dynamics')","(1, 'Robotic Manipulation and Interaction')",,
Human Robot Interaction,,,,,,"(1, 'Human Robot Interaction')","(0.9, 'Algorithmic Human-Robot Interaction')","(0.5, 'Cognitive Robotics')","(1, 'Human-Robot Interaction')"
Ethics and Policy Issues in Computing,,,,,,"(1, 'Ethics and Policy Issues in Computing')",,,
Interpretation and Argument,,,,,,"(1, 'Interpretation and Argument')",,,
계산기하학,,"(1, '계산기하학')",,,,,,,
네트워크,"(1, '컴퓨터 네트워크')","(1, '전산망개론')",,,,,,"(0.7, 'Networks')",
,,"(1, '네트워크아키텍춰')",,,,,,,
,,"(0.8, '인터넷 시스템 기술')",,,,,,,
Signal and Systems,"(0.5, '데이터 통신')",,,"(0.3, 'Sensor Fusion Engineer')",,,"(1, 'Signal and Systems ')","(1, 'Signals and Systems')",
,"(0.5, '디지털 신호처리')",,,,,,,,
Cognitive Psychology,,,,,"(0.5, '뇌과학과 AI: 싱귤러 리티 이브의 인간과 기계의 접점')","(1, 'Cognitive Psychology')","(1, 'Introduction to Cognitive Science')","(0.7, 'Introduction to Neuroscience')","(1, 'Introduction to Cognitive Science')"
,,,,,,,,,"(1, 'Introduction to Cognitive Science(graduate)')"
,,,,,,,,,"(1, 'Introduction to Psychology')"
